Rule,Confidence
"54, 47, 60, 62, 76, 51, 66 => 59",0.9969879518072288
"54, 47, 60, 62, 76, 66 => 59",0.9946380697050938
"54, 47, 60, 62, 48, 76, 66 => 59",0.9944903581267216
"54, 60, 62, 76, 51, 66 => 59",0.9944444444444444
"54, 47, 60, 48, 76, 51, 66 => 59",0.9944289693593316
"54, 60, 62, 48, 51, 76, 66 => 59",0.9943502824858756
"54, 47, 60, 62, 76, 66, 79 => 59",0.9942857142857142
"54, 47, 60, 62, 76, 69, 66 => 59",0.9942363112391932
"54, 47, 60, 76, 51, 66, 79 => 59",0.9941690962099125
"54, 60, 62, 51, 76, 69, 66 => 59",0.9941520467836256
"54, 47, 60, 48, 76, 69, 51, 66 => 59",0.994134897360704
"54, 47, 60, 62, 48, 76, 66, 79 => 59",0.9941176470588236
"54, 47, 60, 62, 48, 76, 69, 66 => 59",0.9941176470588236
"54, 60, 62, 76, 51, 66, 79 => 59",0.9941002949852508
"36, 18, 48, 69 => 66",0.994047619047619
"54, 60, 62, 48, 51, 76, 69, 66 => 59",0.994047619047619
"54, 47, 60, 48, 76, 51, 66, 79 => 59",0.994047619047619
"54, 62, 69, 61, 66 => 48",0.9940298507462688
"54, 60, 62, 48, 51, 76, 66, 79 => 59",0.993993993993994
"54, 60, 62, 55, 66, 79 => 59",0.993993993993994
